,Unnamed: 0,0,date,0
AADI,,,2023-03-17,-21
AAWW,,,2023-03-17,6
ABG,,,2023-03-17,3
ACET,,,2023-03-17,-19
ACT,,,2023-03-17,29
ADT,,,2023-03-17,93
ADTN,,,2023-03-17,38
AFRM,,,2023-03-17,-15
AGIO,,,2023-03-17,27
AKYA,,,2023-03-17,-20
ALEC,,,2023-03-17,-26
ALG,,,2023-03-17,3
AM,,,2023-03-17,66
AMAL,,,2023-03-17,34
AMCX,,,2023-03-17,-10
AMKR,,,2023-03-17,24
AMLX,,,2023-03-17,-4
AMR,,,2023-03-17,4
AMRK,,,2023-03-17,21
ANGO,,,2023-03-17,-13
ANVS,,,2023-03-17,-10
APEN,,,2023-03-17,-15
APOG,,,2023-03-17,14
APP,,,2023-03-17,-11
APPN,,,2023-03-17,-3
APPS,,,2023-03-17,-14
AR,,,2023-03-17,29
ARCB,,,2023-03-17,6
ARLP,,,2023-03-17,32
ARNC,,,2023-03-17,-6
ARQT,,,2023-03-17,-13
ARVN,,,2023-03-17,-5
ARW,,,2023-03-17,5
ASAN,,,2023-03-17,-6
ASPN,,,2023-03-17,-21
ATEC,,,2023-03-17,-9
ATEX,,,2023-03-17,-4
ATOM,,,2023-03-17,-23
ATXS,,,2023-03-17,-13
AURA,,,2023-03-17,-16
AVT,,,2023-03-17,6
AXSM,,,2023-03-17,-2
BALY,,,2023-03-17,-8
BAND,,,2023-03-17,39
BANR,,,2023-03-17,11
BCBP,,,2023-03-17,42
BCC,,,2023-03-17,9
BCYC,,,2023-03-17,-7
BE,,,2023-03-17,-8
BHB,,,2023-03-17,22
BHLB,,,2023-03-17,26
BIG,,,2023-03-17,-12
BIGC,,,2023-03-17,-19
BMEA,,,2023-03-17,-10
BPMC,,,2023-03-17,-3
BRY,,,2023-03-17,5
BTAI,,,2023-03-17,-8
BV,,,2023-03-17,-25
BWFG,,,2023-03-17,24
BXC,,,2023-03-17,8
CAL,,,2023-03-17,26
CALM,,,2023-03-17,10
CBAY,,,2023-03-17,-15
CCB,,,2023-03-17,16
CCBG,,,2023-03-17,21
CCRN,,,2023-03-17,26
CCS,,,2023-03-17,10
CDNA,,,2023-03-17,-16
CELC,,,2023-03-17,-15
CELH,,,2023-03-17,-1
CENX,,,2023-03-17,-17
CHCO,,,2023-03-17,6
CHRD,,,2023-03-17,5
CIVI,,,2023-03-17,10
CLAR,,,2023-03-17,-17
CLPR,,,2023-03-17,-28
CMC,,,2023-03-17,13
CNK,,,2023-03-17,-12
CNX,,,2023-03-17,44
COGT,,,2023-03-17,-14
COLB,,,2023-03-17,30
COLM,,,2023-03-17,7
CONN,,,2023-03-17,-24
CPS,,,2023-03-17,-12
CRK,,,2023-03-17,63
CRUS,,,2023-03-17,6
CTBI,,,2023-03-17,15
CUTR,,,2023-03-17,-6
CVBF,,,2023-03-17,32
CVCO,,,2023-03-17,2
CVCY,,,2023-03-17,30
CVGI,,,2023-03-17,-22
CVRX,,,2023-03-17,-16
CWH,,,2023-03-17,-7
DCPH,,,2023-03-17,-9
DEN,,,2023-03-17,7
DIOD,,,2023-03-17,7
DLTH,,,2023-03-17,-24
DNOW,,,2023-03-17,58
DOCN,,,2023-03-17,-4
DSGN,,,2023-03-17,-25
DVAX,,,2023-03-17,68
DXPE,,,2023-03-17,23
EBF,,,2023-03-17,28
EDIT,,,2023-03-17,-17
EGLE,,,2023-03-17,14
EGRX,,,2023-03-17,-6
EHTH,,,2023-03-17,75
EIG,,,2023-03-17,15
ENVA,,,2023-03-17,14
EOLS,,,2023-03-17,-19
ESNT,,,2023-03-17,16
ESTA,,,2023-03-17,-2
ESTC,,,2023-03-17,-2
ESTE,,,2023-03-17,52
ETD,,,2023-03-17,22
EVA,,,2023-03-17,-5
FARO,,,2023-03-17,-6
FATE,,,2023-03-17,-27
FBNC,,,2023-03-17,16
FBP,,,2023-03-17,58
FCBC,,,2023-03-17,23
FCF,,,2023-03-17,51
FCFS,,,2023-03-17,6
FENC,,,2023-03-17,-18
FF,,,2023-03-17,83
FGEN,,,2023-03-17,-8
FHB,,,2023-03-17,29
FLS,,,2023-03-17,21
FLUX,,,2023-03-17,-31
FLWS,,,2023-03-17,66
FNA,,,2023-03-17,-8
FNKO,,,2023-03-17,-18
FOLD,,,2023-03-17,-13
FSTR,,,2023-03-17,-12
FYBR,,,2023-03-17,25
GABC,,,2023-03-17,19
GDRX,,,2023-03-17,-22
GEL,,,2023-03-17,53
GES,,,2023-03-17,33
GH,,,2023-03-17,-5
GLDD,,,2023-03-17,-30
GLRE,,,2023-03-17,67
GLUE,,,2023-03-17,-23
GMS,,,2023-03-17,11
GNK,,,2023-03-17,43
GNRC,,,2023-03-17,-1
GPI,,,2023-03-17,2
GSBC,,,2023-03-17,12
GSHD,,,2023-03-17,-3
HA,,,2023-03-17,-18
HAFC,,,2023-03-17,30
HBI,,,2023-03-17,-29
HBT,,,2023-03-17,32
HCAT,,,2023-03-17,-14
HCC,,,2023-03-17,19
HCCI,,,2023-03-17,18
HEAR,,,2023-03-17,-19
HEP,,,2023-03-17,34
HESM,,,2023-03-17,23
HFWA,,,2023-03-17,28
HOMB,,,2023-03-17,30
HOUS,,,2023-03-17,-29
HP,,,2023-03-17,17
HRB,,,2023-03-17,-4
HSC,,,2023-03-17,-21
HTBI,,,2023-03-17,24
HTBK,,,2023-03-17,65
HUBG,,,2023-03-17,7
IAC,,,2023-03-17,-3
IBCP,,,2023-03-17,35
IBOC,,,2023-03-17,13
IMKTA,,,2023-03-17,7
IMMR,,,2023-03-17,82
IMRX,,,2023-03-17,-20
INBX,,,2023-03-17,-7
INGN,,,2023-03-17,-11
INGR,,,2023-03-17,6
INSM,,,2023-03-17,-8
