symbol,shares,date
A,5,2024-02-19
ABEO,-122,2024-02-19
ADBE,1,2024-02-19
AEYE,-140,2024-02-19
AIRT,-48,2024-02-19
AKYA,-138,2024-02-19
AMT,4,2024-02-19
ANET,2,2024-02-19
APH,7,2024-02-19
ARQT,-104,2024-02-19
ASTC,-104,2024-02-19
ATNM,-135,2024-02-19
AURA,-91,2024-02-19
AXP,3,2024-02-19
BAH,5,2024-02-19
BODY,-82,2024-02-19
BX,6,2024-02-19
CALC,-165,2024-02-19
CAT,2,2024-02-19
CDNS,2,2024-02-19
CELC,-50,2024-02-19
CLPT,-105,2024-02-19
CLX,5,2024-02-19
COST,1,2024-02-19
CRIS,-79,2024-02-19
CRVO,-49,2024-02-19
CSBR,-134,2024-02-19
CTAS,1,2024-02-19
CULP,-158,2024-02-19
DLA,-272,2024-02-19
DMRC,-20,2024-02-19
ECOR,-110,2024-02-19
EIGR,-140,2024-02-19
ENTA,-58,2024-02-19
FAST,11,2024-02-19
FERG,4,2024-02-19
GANX,-168,2024-02-19
GOCO,-56,2024-02-19
IMRX,-119,2024-02-19
INGN,-76,2024-02-19
IPWR,-115,2024-02-19
KPLT,-54,2024-02-19
LEE,-82,2024-02-19
LULU,1,2024-02-19
MMC,3,2024-02-19
MPWR,1,2024-02-19
NFLX,1,2024-02-19
NGNE,-26,2024-02-19
NKE,7,2024-02-19
NVNO,-163,2024-02-19
ODFL,1,2024-02-19
ONCT,-86,2024-02-19
OPAD,-83,2024-02-19
OUST,-131,2024-02-19
PG,5,2024-02-19
PH,1,2024-02-19
PRAX,-18,2024-02-19
QUIK,-62,2024-02-19
ROL,18,2024-02-19
ROOT,-88,2024-02-19
ROST,5,2024-02-19
RVNC,-142,2024-02-19
SCCO,9,2024-02-19
SCOR,-44,2024-02-19
SILK,-46,2024-02-19
SKLZ,-112,2024-02-19
SNPS,1,2024-02-19
SPY,198,2024-02-19
SYRE,-35,2024-02-19
SYRS,-112,2024-02-19
TCX,-36,2024-02-19
TELA,-109,2024-02-19
TIL,-68,2024-02-19
TSCO,3,2024-02-19
TSE,-154,2024-02-19
TSVT,-139,2024-02-19
TT,2,2024-02-19
VHC,-86,2024-02-19
VRSK,3,2024-02-19
WM,4,2024-02-19
WST,2,2024-02-19
XOS,-101,2024-02-19
